,VoltageP1,VoltageP2,TimeIndex
366,0.0,1.3635,1772668199.98767
367,0.0,1.3345000000000002,1772668200.0902853
368,0.0,1.3345000000000002,1772668200.1928413
369,0.01,1.31,1772668200.2953434
370,5.4985,1.295,1772668200.3978822
371,0.12200000000000001,1.2854999999999999,1772668200.4996786
372,0.0735,1.2805,1772668200.6022885
373,0.054000000000000006,1.271,1772668200.7046773
374,0.137,140.1465,1772668200.8073158
375,0.014499999999999999,1.227,1772668200.9087527
376,0.0,1.2415,1772668201.0110323
377,0.033999999999999996,1.2465,1772668201.114075
378,143.265,1.222,1772668201.2168162
379,0.0,1.227,1772668201.3189876
380,0.0,1.1975,1772668201.4225159
381,1.7449999999999999,1.1975,1772668201.5249536
382,0.014499999999999999,1.1975,1772668201.6260772
383,0.033999999999999996,1.1875,1772668201.7282925
384,0.0,1.183,1772668201.8312118
385,0.0,1.173,1772668201.933238
386,1.7449999999999999,1.173,1772668202.0360997
387,0.0,1.168,1772668202.1383793
388,0.0,140.6745,1772668202.2409112
389,0.0195,1.1535,1772668202.3430502
390,0.0195,140.1415,1772668202.446046
391,0.0,1.1484999999999999,1772668202.5485916
392,0.0585,1.139,1772668202.6497483
393,0.0295,1.134,1772668202.752505
394,143.265,1.129,1772668202.8553174
395,0.0,140.6405,1772668202.9574237
396,0.0,1.129,1772668203.0601692
397,0.0,1.124,1772668203.1625254
398,0.0,1.1145,1772668203.2644773
399,143.265,1.124,1772668203.3673186
400,143.265,1.1095,1772668203.4692824
401,0.0,1.1095,1772668203.5709367
402,0.0,1.1045,1772668203.6736479
403,0.0,61.935500000000005,1772668203.777104
404,0.0,1.1045,1772668203.8789196
405,0.0,1.1045,1772668203.9816444
406,0.0,1.0995000000000001,1772668204.0840874
407,0.0,1.1045,1772668204.1866927
408,0.0,1.09,1772668204.2887895
409,0.0,1.09,1772668204.3903587
410,0.0,1.085,1772668204.493159
411,0.0,1.095,1772668204.5960035
412,0.0,1.085,1772668204.6981635
413,0.0,1.0995000000000001,1772668204.8008146
414,0.0,1.09,1772668204.9031014
415,0.0,1.08,1772668205.0050955
416,0.0,1.085,1772668205.1078837
417,0.0,1.08,1772668205.2104003
418,0.0,1.08,1772668205.3107405
419,0.0195,1.085,1772668205.4116824
420,143.265,1.085,1772668205.51327
421,0.0295,1.0705,1772668205.6157632
422,0.0,1.08,1772668205.7175567
423,0.6255,1.0755000000000001,1772668205.820774
424,0.0,1.0705,1772668205.9223282
425,0.0,1.08,1772668206.025132
426,0.0,1.0705,1772668206.1280794
427,0.0,1.0705,1772668206.230286
428,0.0,1.085,1772668206.3325558
429,143.265,1.08,1772668206.4350646
430,0.0,1.09,1772668206.536435
431,0.0,1.095,1772668206.6399727
432,0.0,140.1415,1772668206.74264
433,0.0,1.0655000000000001,1772668206.844169
434,0.0,1.08,1772668206.945977
435,0.0,1.0655000000000001,1772668207.049389
436,0.0,1.0655000000000001,1772668207.1511729
437,0.0,1.0555,1772668207.2545033
438,0.0,0.8845000000000001,1772668207.3561099
439,0.0,0.2345,1772668207.459056
440,0.0,143.265,1772668207.562494
441,0.0,0.0,1772668207.6638958
442,0.0,0.0,1772668207.766104
443,0.0,0.0,1772668207.8682191
444,144.3595,0.20049999999999998,1772668207.9712338
445,143.265,0.6795,1772668208.0740418
446,0.0,0.611,1772668208.1758294
447,0.0,140.2295,1772668208.2762268
448,0.0,0.0,1772668208.380529
449,0.0,0.0,1772668208.4836287
450,0.0,0.1415,1772668208.5856366
451,0.0,0.6890000000000001,1772668208.686247
452,1.0655000000000001,1.0655000000000001,1772668208.7901642
453,0.0,1.0605,1772668208.8935895
454,0.0,140.557,1772668208.9950957
455,0.0,1.0705,1772668209.096659
456,0.1565,1.0555,1772668209.1994526
457,0.1955,1.051,1772668209.301678
458,0.0195,1.0555,1772668209.4039974
459,0.0,1.0605,1772668209.5058534
460,0.0,1.0605,1772668209.6092114
461,0.044000000000000004,1.095,1772668209.7116048
462,0.1855,1.036,1772668209.813719
463,1.3539999999999999,1.0315,1772668209.91493
464,1.7645,1.051,1772668210.0154283
465,1.8915000000000002,1.0265,1772668210.1182065
466,143.685,1.0655000000000001,1772668210.2193472
467,1.5445,140.5425,1772668210.3225565
468,1.5884999999999998,1.051,1772668210.4232786
469,0.0,140.1415,1772668210.527114
470,0.0,1.036,1772668210.6290963
471,0.0,1.051,1772668210.7308254
472,0.0,1.08,1772668210.8334126
473,143.265,1.0555,1772668210.9366858
474,143.265,1.041,1772668211.0395052
475,0.0,1.0315,1772668211.1409466
476,0.0,1.0605,1772668211.241602
477,0.0,1.0655000000000001,1772668211.3420768
478,0.0,1.0605,1772668211.4435327
479,0.0,1.0705,1772668211.546591
480,0.0,1.041,1772668211.6489084
481,0.0,1.0555,1772668211.7512417
482,0.0,1.0655000000000001,1772668211.8537364
483,0.0,1.0655000000000001,1772668211.9561887
484,0.0,1.051,1772668212.0578427
485,0.0,140.1415,1772668212.1614966
486,141.256,1.0705,1772668212.2637725
487,2.121,1.0605,1772668212.364964
488,0.0,49.1885,1772668212.4682631
489,143.265,0.9725,1772668212.5708005
490,0.0,1.7449999999999999,1772668212.6770678
491,4.477,1.0655000000000001,1772668212.7796717
492,0.0,0.0,1772668212.8813307
493,5.0,0.0,1772668212.9841735
494,141.2315,1.4905,1772668213.09482
495,3.0204999999999997,1.525,1772668213.1963615
496,5.0,0.0,1772668213.2995882
497,143.8855,0.0,1772668213.4028096
498,4.0760000000000005,143.646,1772668213.5053976
499,2.8149999999999995,1.3050000000000002,1772668213.6114855
500,77.444,1.261,1772668213.7141347
501,1.3439999999999999,1.1925,1772668213.8155568
502,1.5495,1.207,1772668213.917918
503,1.427,64.9315,1772668214.020914
504,2.0575,1.1875,1772668214.122661
505,5.0,0.264,1772668214.2252102
506,5.0,0.0,1772668214.3278089
507,0.66,0.0,1772668214.4297624
508,0.0,0.0,1772668214.5311534
509,0.0,0.0,1772668214.634186
510,0.0245,0.0,1772668214.7371767
511,0.0,140.137,1772668214.839894
512,0.0,0.772,1772668214.9409707
513,0.0,0.8699999999999999,1772668215.043685
514,0.0,0.308,1772668215.146216
515,0.0,0.171,1772668215.2487159
516,0.6205,0.0,1772668215.3510103
517,1.163,0.01,1772668215.4541974
518,140.137,0.9089999999999999,1772668215.5572495
519,0.0,1.129,1772668215.6589503
520,0.0,1.129,1772668215.761205
521,0.0,1.129,1772668215.8636298
522,0.0,1.129,1772668215.964868
523,143.265,1.124,1772668216.0681093
524,0.0,0.7330000000000001,1772668216.1707652
525,0.0,1.1195,1772668216.2726986
526,0.0,1.1195,1772668216.3760333
527,143.265,140.137,1772668216.4783885
528,0.0,1.0555,1772668216.5799022
529,4.3355,0.2395,1772668216.6826923
530,4.3355,0.27849999999999997,1772668216.7853348
531,4.6825,0.0685,1772668216.8874693
532,0.0,140.1415,1772668216.9898655
533,0.0,0.42999999999999994,1772668217.0916212
534,4.3205,0.777,1772668217.1949863
